id;lat;lng;title;reiting;content_text;address;content;cats
2612;60.0111983130206;30.3864269251312;Контейнер для сбора вещей от благотворительного магазина «Спасибо»;5;Одежда, Иное;Гжатская ул., 22 корпус 2;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span></div>";5_6
2613;59.9870232934009;30.3685620428528;Контейнер для макулатуры;0;Бумага;Кушелевская дор., 3к1;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span></div>";1
2614;59.9876565369715;30.369860232016;Контейнер для макулатуры;0;Бумага;Кушелевская дор., 3/4;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span></div>";1
2615;59.8473749162766;30.0353128220902;Терминал приема опасных отходов «Экобокс»;5;Батарейки, Лампочки;Фронтовая ул., 8Б;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash9.png)"" data-tooltip=""""></span></div>";8_9
2675;59.9318711490769;30.3433428085983;Центральная городская публичная библиотека им. Маяковского;1;Иное;набережная P. Фонтанки, 46;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span></div>";6
2676;59.919211648667;30.4723040581971;Центральная детская библиотека Невского района;5;Иное;пр. Большевиков, 2к1;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span></div>";6
2677;60.0303237776594;30.2370072502624;Контейнер для макулатуры;0;Бумага;Комендантский пр., 51к1;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span></div>";1
2679;59.8626212842636;30.1822905023773;Контейнер для ПЭТ-бутылок;0;Пластик;Ленинский пр., 72;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";3
2680;59.8619777405189;30.181715797345;Контейнер для батареек;0;Батарейки;Ленинский пр., 72к1;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span></div>";8
2681;60.0896020248226;29.956612;Приём батареек в сервисном центре АйТиБит;0;Батарейки;ул. Токарева, 13А;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span></div>";8
2683;59.9961564345075;30.1941131706391;Бак для старой одежды «Перемолка»;5;Одежда, Иное;Шуваловский пр., 88;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span></div>";5_6
2684;59.9972457319986;30.1943167976227;Бак для старой одежды «Перемолка»;0;Одежда, Иное;Шуваловский пр., 86;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span></div>";5_6
2685;59.8838595062208;30.4570471832199;Пункт приёма макулатуры;0;Бумага;ул. Новосёлов, 6;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span></div>";1
2686;59.8639573828366;30.3338702308273;Контейнер для макулатуры;5;Бумага;Бассейная ул., 59;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span></div>";1
2687;59.8285058053862;30.3290251693115;Бак для старой одежды «Перемолка»;0;Одежда, Иное;Дунайский пр., 3к4;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span></div>";5_6
2688;59.8364210183435;30.3537130055572;Бак для старой одежды «Перемолка»;0;Одежда, Иное;пр. Космонавтов, 65 корпус 12;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span></div>";5_6
2689;59.8368494365919;30.3576284993362;Бак для старой одежды «Перемолка»;5;Одежда, Иное;пр. Космонавтов, 65к5;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span></div>";5_6
2690;59.8267759624337;30.3284799656067;Бак для старой одежды «Перемолка»;0;Одежда, Иное;Пулковское ш., 26к7;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span></div>";5_6
2691;60.0200716951892;30.2684656269837;Терминал приема опасных отходов «Экобокс»;0;Батарейки;Парашютная ул., 27к2;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span></div>";8
2692;59.9037574604365;30.3227148526398;Терминал приема опасных отходов «Экобокс»;5;Опасные отходы, Батарейки, Лампочки;Санкт-Петербург, Смоленская ул., д. 13В;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash7.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash9.png)"" data-tooltip=""""></span></div>";7_8_9
2693;59.7962536878655;30.1595881847168;Контейнер для ПЭТ-бутылок;0;Пластик;Санкт-Петербург, Горелово, ул. Коммунаров, д. 190, 8-800-775-56-26;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";3
2694;59.7860492929576;30.1481394888856;Контейнер для ПЭТ-бутылок;0;Пластик;ул. Коммунаров, 116к2;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";3
2695;59.7820141785823;30.1069953055572;Контейнер для ПЭТ-бутылок;0;Пластик;ул. Политрука Пасечника, 11к2;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";3
2696;59.7791554001921;30.102522287033;Контейнер для ПЭТ-бутылок;0;Пластик;ул. Политрука Пасечника, 16;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";3
2697;59.9966620636421;29.766766761377;Терминал приема опасных отходов «Экобокс»;0;Опасные отходы, Батарейки, Лампочки;пр. Ленина, 16;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash7.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash9.png)"" data-tooltip=""""></span></div>";7_8_9
2698;59.9919009349936;30.3178300198517;Терминал приема опасных отходов «Экобокс»;0;Батарейки;Торжковская ул., 30к1;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span></div>";8
